Statistic Label,Month,Main Reason for Travel,UNIT,VALUE
Number of Overnight Trips by Foreign Visitors,2023 January,Business,Thousand,50.1
Number of Overnight Trips by Foreign Visitors,2023 January,Holiday/leisure/recreation,Thousand,107.9
Number of Overnight Trips by Foreign Visitors,2023 January,Visit to friends/relatives,Thousand,217
Number of Overnight Trips by Foreign Visitors,2023 January,Other reason for journey,Thousand,25
Number of Overnight Trips by Foreign Visitors,2023 January,All reasons for journey,Thousand,400
Number of Overnight Trips by Foreign Visitors,2023 February,Business,Thousand,64
Number of Overnight Trips by Foreign Visitors,2023 February,Holiday/leisure/recreation,Thousand,98.3
Number of Overnight Trips by Foreign Visitors,2023 February,Visit to friends/relatives,Thousand,136
Number of Overnight Trips by Foreign Visitors,2023 February,Other reason for journey,Thousand,38.7
Number of Overnight Trips by Foreign Visitors,2023 February,All reasons for journey,Thousand,337
Number of Overnight Trips by Foreign Visitors,2023 March,Business,Thousand,74.5
Number of Overnight Trips by Foreign Visitors,2023 March,Holiday/leisure/recreation,Thousand,164.5
Number of Overnight Trips by Foreign Visitors,2023 March,Visit to friends/relatives,Thousand,148.9
Number of Overnight Trips by Foreign Visitors,2023 March,Other reason for journey,Thousand,37.3
Number of Overnight Trips by Foreign Visitors,2023 March,All reasons for journey,Thousand,425.2
Number of Overnight Trips by Foreign Visitors,2023 April,Business,Thousand,62.8
Number of Overnight Trips by Foreign Visitors,2023 April,Holiday/leisure/recreation,Thousand,168.5
Number of Overnight Trips by Foreign Visitors,2023 April,Visit to friends/relatives,Thousand,197.9
Number of Overnight Trips by Foreign Visitors,2023 April,Other reason for journey,Thousand,32.7
Number of Overnight Trips by Foreign Visitors,2023 April,All reasons for journey,Thousand,461.9
Number of Overnight Trips by Foreign Visitors,2023 May,Business,Thousand,74.1
Number of Overnight Trips by Foreign Visitors,2023 May,Holiday/leisure/recreation,Thousand,227.5
Number of Overnight Trips by Foreign Visitors,2023 May,Visit to friends/relatives,Thousand,205.4
Number of Overnight Trips by Foreign Visitors,2023 May,Other reason for journey,Thousand,66.3
Number of Overnight Trips by Foreign Visitors,2023 May,All reasons for journey,Thousand,573.3
Number of Overnight Trips by Foreign Visitors,2023 June,Business,Thousand,88.4
Number of Overnight Trips by Foreign Visitors,2023 June,Holiday/leisure/recreation,Thousand,264.4
Number of Overnight Trips by Foreign Visitors,2023 June,Visit to friends/relatives,Thousand,205.2
Number of Overnight Trips by Foreign Visitors,2023 June,Other reason for journey,Thousand,61.9
Number of Overnight Trips by Foreign Visitors,2023 June,All reasons for journey,Thousand,619.9
Number of Overnight Trips by Foreign Visitors,2023 July,Business,Thousand,71.8
Number of Overnight Trips by Foreign Visitors,2023 July,Holiday/leisure/recreation,Thousand,292.8
Number of Overnight Trips by Foreign Visitors,2023 July,Visit to friends/relatives,Thousand,226.7
Number of Overnight Trips by Foreign Visitors,2023 July,Other reason for journey,Thousand,58.8
Number of Overnight Trips by Foreign Visitors,2023 July,All reasons for journey,Thousand,650.2
Number of Overnight Trips by Foreign Visitors,2023 August,Business,Thousand,81.8
Number of Overnight Trips by Foreign Visitors,2023 August,Holiday/leisure/recreation,Thousand,348.1
Number of Overnight Trips by Foreign Visitors,2023 August,Visit to friends/relatives,Thousand,249
Number of Overnight Trips by Foreign Visitors,2023 August,Other reason for journey,Thousand,58.7
Number of Overnight Trips by Foreign Visitors,2023 August,All reasons for journey,Thousand,737.6
Number of Overnight Trips by Foreign Visitors,2023 September,Business,Thousand,96.5
Number of Overnight Trips by Foreign Visitors,2023 September,Holiday/leisure/recreation,Thousand,275.8
Number of Overnight Trips by Foreign Visitors,2023 September,Visit to friends/relatives,Thousand,184.7
