"C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All reasons for journey","20121","2012Q1","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1167"
"-","All reasons for journey","20121","2012Q1","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.8"
"-","All reasons for journey","20121","2012Q1","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","483"
"-","All reasons for journey","20121","2012Q1","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1235"
"-","All reasons for journey","20121","2012Q1","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.5"
"-","All reasons for journey","20121","2012Q1","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","969"
"-","All reasons for journey","20122","2012Q2","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1817"
"-","All reasons for journey","20122","2012Q2","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"-","All reasons for journey","20122","2012Q2","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","816"
"-","All reasons for journey","20122","2012Q2","TMQ08C4","Overseas Trips by Irish Residents","Thousand","1727"
"-","All reasons for journey","20122","2012Q2","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.3"
"-","All reasons for journey","20122","2012Q2","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1273"
"-","All reasons for journey","20123","2012Q3","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","2095"
"-","All reasons for journey","20123","2012Q3","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"-","All reasons for journey","20123","2012Q3","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","994"
"-","All reasons for journey","20123","2012Q3","TMQ08C4","Overseas Trips by Irish Residents","Thousand","2003"
"-","All reasons for journey","20123","2012Q3","TMQ08C5","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.5"
"-","All reasons for journey","20123","2012Q3","TMQ08C6","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","1928"
"-","All reasons for journey","20124","2012Q4","TMQ08C1","Overseas Trips to Ireland by Non-Residents","Thousand","1438"
"-","All reasons for journey","20124","2012Q4","TMQ08C2","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"-","All reasons for journey","20124","2012Q4","TMQ08C3","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","622"
